id,type,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,pnl,outcome,reason
1,sell,2024-12-16 00:00:00,2024-12-16 12:00:00,1905849.0,1929880.7480799572,1929880.7480799572,1848176.190860075,-2.403174807995721,loss,stop_loss_hit
2,buy,2024-12-18 08:00:00,2024-12-18 20:00:00,1952272.0,1929760.78,1929760.78,2001267.7199999997,-2.2511219999999974,loss,stop_loss_hit
3,buy,2024-12-18 16:00:00,2024-12-18 20:00:00,1930024.0,1929760.78,1929760.78,2005000.9649999999,-0.02632199999999721,loss,stop_loss_hit
4,buy,2024-12-18 20:00:00,2024-12-19 04:00:00,1894854.0,1929760.78,1929760.78,1997574.8399999999,3.490678000000003,loss,stop_loss_hit
5,buy,2024-12-19 00:00:00,2024-12-19 16:00:00,1933016.0,1856956.92,1856956.92,1961173.89,-7.605908000000007,loss,stop_loss_hit
6,buy,2024-12-19 04:00:00,2024-12-19 08:00:00,1905526.0,1929760.78,1929760.78,2000671.5599999998,2.423478000000003,loss,stop_loss_hit
7,sell,2024-12-24 16:00:00,2024-12-27 12:00:00,1869642.0,1820334.505,1924084.1400000001,1820334.505,4.930749500000012,win,take_profit_hit
8,sell,2024-12-26 04:00:00,2024-12-27 04:00:00,1871765.0,1828720.355,1932947.94,1828720.355,4.304464500000002,win,take_profit_hit
9,sell,2024-12-26 20:00:00,2024-12-29 16:00:00,1852724.0,1796198.89,1898572.92,1796198.89,5.65251100000001,win,take_profit_hit
10,buy,2024-12-30 12:00:00,2024-12-30 16:00:00,1764450.0,1799523.618,1766378.7569953678,1799523.618,3.5073618000000018,win,take_profit_hit
11,buy,2024-12-30 16:00:00,2024-12-31 08:00:00,1807296.0,1799523.618,1731688.8100671275,1799523.618,-0.7772381999999983,win,take_profit_hit
12,sell,2024-12-30 20:00:00,2025-01-02 08:00:00,1779175.0,1843441.92,1843441.92,1744040.64,-6.426691999999993,loss,stop_loss_hit
13,sell,2024-12-31 16:00:00,2025-01-03 16:00:00,1813383.0,1871242.02,1871242.02,1770341.7149999999,-5.785902000000002,loss,stop_loss_hit
14,sell,2024-12-31 20:00:00,2025-01-02 08:00:00,1804715.0,1849650.66,1849650.66,1749914.595,-4.4935659999999915,loss,stop_loss_hit
15,sell,2025-01-02 12:00:00,2025-01-02 20:00:00,1846925.0,1851523.052,1884135.1143297835,1851523.052,-0.4598051999999909,win,take_profit_hit
16,sell,2025-01-02 16:00:00,2025-01-03 16:00:00,1858653.0,1879447.0704490847,1879447.0704490847,1790011.3767141018,-2.0794070449084745,loss,stop_loss_hit
17,sell,2025-01-04 00:00:00,2025-01-06 12:00:00,1873992.0,1902186.9447481106,1902186.9447481106,1851523.052,-2.8194944748110604,loss,stop_loss_hit
18,buy,2025-01-06 04:00:00,2025-01-07 16:00:00,1895321.0,1854743.864,1854743.864,1929657.8002414443,-4.057713599999994,loss,stop_loss_hit
19,buy,2025-01-06 08:00:00,2025-01-07 16:00:00,1876416.0,1858241.456,1858241.456,1936166.6895099124,-1.8174543999999995,loss,stop_loss_hit
20,buy,2025-01-06 12:00:00,2025-01-06 20:00:00,1927221.0,1918699.3902592044,1870023.864,1918699.3902592044,-0.8521609740795568,win,take_profit_hit
21,buy,2025-01-06 16:00:00,2025-01-07 12:00:00,1917806.0,1870023.864,1870023.864,1979232.6480978327,-4.778213599999995,loss,stop_loss_hit
22,buy,2025-01-07 16:00:00,2025-01-08 16:00:00,1834005.0,1825590.5096805661,1825590.5096805661,1920318.3580590095,-0.8414490319433855,loss,stop_loss_hit
23,buy,2025-01-07 20:00:00,2025-01-09 04:00:00,1845922.0,1798482.7232748114,1798482.7232748114,1896168.9842690802,-4.7439276725188595,loss,stop_loss_hit
24,buy,2025-01-08 00:00:00,2025-01-09 00:00:00,1840305.0,1810382.6358980392,1810382.6358980392,1908115.8871784315,-2.992236410196079,loss,stop_loss_hit
25,buy,2025-01-08 04:00:00,2025-01-09 00:00:00,1828042.0,1805220.4476196077,1805220.4476196077,1901702.9666656866,-2.2821552380392327,loss,stop_loss_hit
