id,type,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,pnl,outcome,reason
1,buy,2025-02-23 12:00:00,2025-02-23 12:15:00,3174.02,3182.199282770298,3182.199282770298,3198.3162551519786,0.08179282770297959,loss,stop_loss_hit
2,buy,2025-02-23 12:30:00,2025-02-23 13:00:00,3162.88,3165.7916179626754,3140.9762183070425,3165.7916179626754,0.029116179626753363,win,take_profit_hit
3,buy,2025-02-23 12:45:00,2025-02-23 15:30:00,3162.88,3153.120774142254,3153.120774142254,3179.9586452510557,-0.0975922585774606,loss,stop_loss_hit
4,buy,2025-02-23 15:30:00,2025-02-23 15:45:00,3141.0,3152.672736241794,3152.672736241794,3172.82271157686,0.11672736241794156,loss,stop_loss_hit
5,buy,2025-02-23 15:45:00,2025-02-23 16:30:00,3140.86,3132.160397938809,3132.160397938809,3156.4693036070844,-0.08699602061190945,loss,stop_loss_hit
6,buy,2025-02-23 16:00:00,2025-02-23 16:30:00,3150.82,3131.151798086037,3131.151798086037,3157.8493533494357,-0.19668201913963004,loss,stop_loss_hit
7,sell,2025-02-23 22:30:00,2025-02-23 23:15:00,3118.56,3144.28076,3144.28076,3101.1556959274776,-0.25720760000000154,loss,stop_loss_hit
8,buy,2025-02-23 23:15:00,2025-02-24 00:00:00,3152.0,3157.8477172184153,3129.8013044466197,3157.8477172184153,0.05847717218415255,win,take_profit_hit
9,sell,2025-02-24 00:15:00,2025-02-24 00:30:00,3160.02,3143.4455984101637,3169.4910866227638,3143.4455984101637,0.1657440158983627,win,take_profit_hit
10,buy,2025-02-24 03:45:00,2025-02-24 04:00:00,3020.0,3008.053668816163,3008.053668816163,3053.913579571715,-0.11946331183837174,loss,stop_loss_hit
11,sell,2025-02-24 09:15:00,2025-02-24 14:45:00,2996.47,2918.6910942812533,2996.8572,2918.6910942812533,0.777789057187465,win,take_profit_hit
12,buy,2025-02-24 10:30:00,2025-02-24 11:45:00,2924.96,2975.1270057045253,2904.2131395974143,2975.1270057045253,0.5016700570452531,win,take_profit_hit
13,sell,2025-02-24 13:00:00,2025-02-24 14:15:00,2953.76,2942.4984574165555,3013.4037386191108,2942.4984574165555,0.1126154258344468,win,take_profit_hit
14,sell,2025-02-24 14:45:00,2025-02-24 15:15:00,2901.0,2863.95481291037,2980.43416,2863.95481291037,0.3704518708962996,win,take_profit_hit
15,buy,2025-02-24 15:45:00,2025-02-24 19:00:00,2856.31,2825.5502770093276,2825.5502770093276,2938.849515233677,-0.30759722990672345,loss,stop_loss_hit
16,sell,2025-02-24 19:15:00,2025-02-24 19:30:00,2849.64,2764.4874365123096,2877.61384,2764.4874365123096,0.8515256348769026,win,take_profit_hit
17,sell,2025-02-24 22:30:00,2025-02-24 22:45:00,2735.23,2642.9999000000003,2793.6372,2642.9999000000003,0.9223009999999977,win,take_profit_hit
18,sell,2025-02-24 22:45:00,2025-02-24 23:45:00,2623.0,2639.4969499999997,2738.2374,2639.4969499999997,-0.16496949999999744,win,take_profit_hit
19,sell,2025-02-25 06:00:00,2025-02-25 07:15:00,2618.0,2556.092,2701.7760000000003,2556.092,0.6190799999999991,win,take_profit_hit
20,sell,2025-02-25 06:45:00,2025-02-25 07:15:00,2594.45,2536.9656999999997,2636.25952,2536.9656999999997,0.5748430000000008,win,take_profit_hit
21,sell,2025-02-25 09:00:00,2025-02-25 11:45:00,2570.01,2591.096,2591.096,2489.74825,-0.21085999999999785,loss,stop_loss_hit
22,sell,2025-02-25 09:30:00,2025-02-25 11:45:00,2540.0,2589.85464,2589.85464,2431.7999999999997,-0.49854640000000017,loss,stop_loss_hit
23,sell,2025-02-25 11:00:00,2025-02-25 11:45:00,2571.31,2616.0552000000002,2616.0552000000002,2474.9934000000003,-0.44745200000000296,loss,stop_loss_hit
24,sell,2025-02-25 11:15:00,2025-02-25 11:45:00,2529.22,2622.7362,2622.7362,2481.3141499999997,-0.9351620000000003,loss,stop_loss_hit
25,sell,2025-02-25 11:45:00,2025-02-25 12:00:00,2647.66,2625.0618000000004,2625.0618000000004,2483.51435,0.22598199999999452,loss,stop_loss_hit
26,sell,2025-02-25 12:15:00,2025-02-25 14:30:00,2622.69,2554.8761,2700.4908,2554.8761,0.678139000000001,win,take_profit_hit
27,sell,2025-02-25 12:30:00,2025-02-25 15:15:00,2600.2,2530.89585,2675.1438000000003,2530.89585,0.6930414999999994,win,take_profit_hit
28,sell,2025-02-25 13:00:00,2025-02-25 16:30:00,2620.75,2663.5056000000004,2663.5056000000004,2519.8852,-0.42755600000000415,loss,stop_loss_hit
29,sell,2025-02-25 14:15:00,2025-02-25 16:30:00,2568.0,2649.3174,2649.3174,2506.4620499999996,-0.8131739999999991,loss,stop_loss_hit
30,sell,2025-02-25 14:30:00,2025-02-25 16:00:00,2540.0,2619.36,2619.36,2478.12,-0.7936000000000013,loss,stop_loss_hit
31,sell,2025-02-25 15:00:00,2025-02-25 15:45:00,2559.78,2583.405,2583.405,2444.1037499999998,-0.23625000000000002,loss,stop_loss_hit
32,sell,2025-02-25 15:15:00,2025-02-25 16:00:00,2520.0,2610.9756,2610.9756,2470.1877,-0.9097560000000021,loss,stop_loss_hit
33,sell,2025-02-25 15:30:00,2025-02-25 15:45:00,2562.1,2521.7635999999998,2521.7635999999998,2431.7999999999997,0.4033640000000014,loss,stop_loss_hit
34,sell,2025-02-25 15:45:00,2025-02-25 16:00:00,2598.51,2613.342,2613.342,2472.4265,-0.14831999999999881,loss,stop_loss_hit
35,sell,2025-02-25 16:00:00,2025-02-25 16:30:00,2638.04,2650.4802000000004,2650.4802000000004,2593.33928,-0.12440200000000459,loss,stop_loss_hit
36,sell,2025-02-25 16:30:00,2025-02-25 16:45:00,2681.2,2656.4268,2656.4268,2593.33928,0.24773199999999634,loss,stop_loss_hit
37,sell,2025-02-25 16:45:00,2025-02-28 11:30:00,2675.0,2517.55,2734.824,2593.33928,1.5744999999999982,win,unclosed_position
38,buy,2025-02-25 20:00:00,2025-02-26 05:45:00,2709.0,2650.89144,2650.89144,2794.9504721621415,-0.5810856000000013,loss,stop_loss_hit
39,buy,2025-02-25 21:45:00,2025-02-26 00:45:00,2727.72,2663.66552,2663.66552,2779.0766864709685,-0.6405447999999979,loss,stop_loss_hit
40,buy,2025-02-26 05:15:00,2025-02-26 07:30:00,2682.09,2643.0464736863682,2643.0464736863682,2688.5411710488556,-0.39043526313631904,loss,stop_loss_hit
41,buy,2025-02-26 06:00:00,2025-02-26 07:30:00,2672.96,2630.8303180353323,2630.8303180353323,2683.5744434381695,-0.42129681964667726,loss,stop_loss_hit
42,buy,2025-02-26 06:30:00,2025-02-26 07:30:00,2650.0,2638.7244834080157,2638.7244834080157,2697.232154035972,-0.11275516591984343,loss,stop_loss_hit
43,buy,2025-02-26 06:45:00,2025-02-26 07:30:00,2671.84,2629.1716631645863,2629.1716631645863,2686.4495894619745,-0.4266833683541381,loss,stop_loss_hit
44,buy,2025-02-26 07:15:00,2025-02-26 07:30:00,2663.32,2641.188015687832,2641.188015687832,2725.178472546294,-0.22131984312168243,loss,stop_loss_hit
45,sell,2025-02-26 16:00:00,2025-02-26 17:15:00,2599.93,2552.9701172071314,2632.7356473102104,2552.9701172071314,0.46959882792868485,win,take_profit_hit
46,buy,2025-02-26 18:30:00,2025-02-26 21:15:00,2492.81,2537.7396254273394,2447.084499755806,2537.7396254273394,0.44929625427339487,win,take_profit_hit
47,sell,2025-02-26 20:30:00,2025-02-26 20:45:00,2510.0,2505.53292,2505.53292,2433.3923424457466,0.04467079999999896,loss,stop_loss_hit
48,sell,2025-02-27 01:30:00,2025-02-27 02:00:00,2575.28,2570.7077,2605.838346090151,2570.7077,0.045723000000002685,win,take_profit_hit
49,sell,2025-02-27 02:30:00,2025-02-27 02:45:00,2548.79,2551.0553,2611.2156045054353,2551.0553,-0.02265300000000025,win,take_profit_hit
50,sell,2025-02-27 03:30:00,2025-02-27 03:45:00,2549.6,2574.2199504185687,2574.2199504185687,2546.58098,-0.24619950418568806,loss,stop_loss_hit
51,buy,2025-02-27 14:45:00,2025-02-27 19:30:00,2575.01,2558.6385658743266,2558.6385658743266,2638.7700600000003,-0.1637143412567366,loss,stop_loss_hit
52,buy,2025-02-27 15:00:00,2025-02-27 19:45:00,2581.05,2545.079025454732,2545.079025454732,2638.7700600000003,-0.3597097454526829,loss,stop_loss_hit
53,buy,2025-02-27 15:15:00,2025-02-27 19:30:00,2590.84,2551.2137379222513,2551.2137379222513,2638.7700600000003,-0.39626262077748836,loss,stop_loss_hit
54,buy,2025-02-27 15:30:00,2025-02-27 19:30:00,2622.17,2562.0859709278047,2562.0859709278047,2638.8318600000002,-0.6008402907219533,loss,stop_loss_hit
55,buy,2025-02-27 16:30:00,2025-02-27 16:45:00,2595.87,2601.0851926454866,2601.0851926454866,2646.1551600000003,0.05215192645486695,loss,stop_loss_hit
56,buy,2025-02-27 16:45:00,2025-02-27 19:30:00,2563.43,2561.090893170809,2561.090893170809,2646.1551600000003,-0.023391068291907686,loss,stop_loss_hit
57,buy,2025-02-27 18:15:00,2025-02-27 19:30:00,2617.03,2576.2208932137255,2576.2208932137255,2646.1551600000003,-0.40809106786274696,loss,stop_loss_hit
58,buy,2025-02-27 20:15:00,2025-02-28 01:30:00,2559.84,2511.8396413433297,2511.8396413433297,2598.3006276491733,-0.48000358656670417,loss,stop_loss_hit
59,buy,2025-02-28 02:45:00,2025-02-28 04:00:00,2424.88,2391.2761630632554,2391.2761630632554,2483.741714639303,-0.3360383693674476,loss,stop_loss_hit
60,sell,2025-02-28 05:00:00,2025-02-28 09:00:00,2397.97,2444.207080250664,2444.207080250664,2336.3876095613377,-0.4623708025066435,loss,stop_loss_hit
61,sell,2025-02-28 07:45:00,2025-02-28 08:00:00,2409.11,2403.48612,2403.48612,2308.44405,0.05623880000000099,loss,stop_loss_hit
62,sell,2025-02-28 08:00:00,2025-02-28 09:15:00,2405.0,2457.2922000000003,2457.2922000000003,2324.79115,-0.5229220000000032,loss,stop_loss_hit
63,sell,2025-02-28 08:15:00,2025-02-28 09:00:00,2430.0,2453.1,2453.1,2320.825,-0.2309999999999991,loss,stop_loss_hit
64,sell,2025-02-28 08:30:00,2025-02-28 09:30:00,2400.01,2478.6,2478.6,2344.95,-0.7858999999999969,loss,stop_loss_hit
65,sell,2025-02-28 08:45:00,2025-02-28 09:00:00,2431.68,2400.03108,2400.03108,2316.00965,0.31648919999999636,loss,stop_loss_hit
66,sell,2025-02-28 09:00:00,2025-02-28 11:15:00,2453.81,2480.3136,2480.3136,2346.5712,-0.26503600000000005,loss,stop_loss_hit
67,sell,2025-02-28 09:15:00,2025-02-28 11:30:00,2459.62,2502.8862,2502.8862,2367.92665,-0.43266200000000027,loss,stop_loss_hit
68,sell,2025-02-28 09:30:00,2025-02-28 11:30:00,2478.89,2508.8124,2508.8124,2373.5332999999996,-0.29922399999999927,loss,stop_loss_hit
69,sell,2025-02-28 09:45:00,2025-02-28 11:30:00,2479.99,2517.55,2528.4678,2392.1288499999996,-0.375600000000004,loss,unclosed_position
70,sell,2025-02-28 10:00:00,2025-02-28 11:30:00,2479.99,2517.55,2529.5897999999997,2393.19035,-0.375600000000004,loss,unclosed_position
