id,type,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,pnl,outcome,reason
1,sell,2024-12-25 08:00:00,2024-12-26 08:00:00,3780.03,3700.7653499999997,3911.6897999999997,3700.7653499999997,0.7926465000000054,win,take_profit_hit
2,sell,2024-12-26 12:00:00,2024-12-27 12:00:00,3639.46,3520.513,3721.1639999999998,3520.513,1.1894700000000011,win,take_profit_hit
3,sell,2024-12-29 08:00:00,2024-12-29 16:00:00,3745.0,3732.77304,3818.0232,3732.77304,0.12226959999999963,win,take_profit_hit
4,buy,2024-12-30 20:00:00,2024-12-31 00:00:00,3634.25,3757.3182,3757.3182,3894.2599499999997,1.2306820000000016,loss,stop_loss_hit
5,sell,2025-01-03 20:00:00,2025-01-07 12:00:00,4157.99,3995.37985,4223.0958,3995.37985,1.6261014999999999,win,take_profit_hit
6,buy,2025-01-06 16:00:00,2025-01-07 00:00:00,4138.92,4100.3102,4100.3102,4330.429649999999,-0.3860980000000018,loss,stop_loss_hit
7,buy,2025-01-07 08:00:00,2025-01-07 12:00:00,4049.99,4072.37736,4072.37736,4230.22095,0.22387360000000173,loss,stop_loss_hit
8,buy,2025-01-07 12:00:00,2025-01-07 16:00:00,3958.93,3968.9901999999997,3968.9901999999997,4191.7396499999995,0.10060199999999896,loss,stop_loss_hit
9,buy,2025-01-07 16:00:00,2025-01-08 00:00:00,3897.46,3879.7513999999996,3879.7513999999996,4097.49255,-0.17708600000000388,loss,stop_loss_hit
10,buy,2025-01-07 20:00:00,2025-01-08 00:00:00,3884.99,3819.5108,3819.5108,4033.8711,-0.6547919999999977,loss,stop_loss_hit
11,buy,2025-01-08 08:00:00,2025-01-08 12:00:00,3771.49,3826.19106,3669.12,3826.19106,0.5470106000000032,win,take_profit_hit
12,buy,2025-01-08 12:00:00,2025-01-09 04:00:00,3848.63,3696.0602,3696.0602,3826.19106,-1.5256980000000022,loss,stop_loss_hit
13,sell,2025-01-11 00:00:00,2025-01-13 08:00:00,3607.14,3500.1128999999996,3699.6012,3500.1128999999996,1.0702710000000024,win,take_profit_hit
14,sell,2025-01-11 04:00:00,2025-01-11 08:00:00,3606.0,3621.632,3621.632,3480.8900999999996,-0.15632000000000063,loss,stop_loss_hit
15,sell,2025-01-16 16:00:00,2025-01-17 08:00:00,4086.29,4100.4204,4100.4204,3879.4438,-0.1413040000000001,loss,stop_loss_hit
16,sell,2025-01-17 16:00:00,2025-01-18 04:00:00,4129.38,4245.9642,4245.9642,4017.0151499999997,-1.1658420000000025,loss,stop_loss_hit
17,buy,2025-01-21 20:00:00,2025-01-22 16:00:00,4695.14,4965.2469,4701.3932,4965.2469,2.7010689999999977,win,take_profit_hit
18,buy,2025-01-27 08:00:00,2025-01-27 12:00:00,4300.0,4399.90352,4221.4872000000005,4399.90352,0.9990351999999985,win,take_profit_hit
19,sell,2025-02-04 08:00:00,2025-02-04 12:00:00,3977.52,3906.8,3906.8,3757.4590999999996,0.707199999999998,loss,stop_loss_hit
20,sell,2025-02-04 16:00:00,2025-02-04 20:00:00,3977.52,3955.3034000000002,4180.7352,3955.3034000000002,0.22216599999999745,win,take_profit_hit
21,sell,2025-02-05 08:00:00,2025-02-05 20:00:00,3901.89,3753.91755,3906.56164,3753.91755,1.4797244999999977,win,take_profit_hit
22,sell,2025-02-05 12:00:00,2025-02-05 20:00:00,3820.0,3765.3238499999998,3903.26,3765.3238499999998,0.5467615000000023,win,take_profit_hit
23,sell,2025-02-05 20:00:00,2025-02-06 12:00:00,3699.0,3647.7,3855.6,3647.7,0.5130000000000018,win,take_profit_hit
24,buy,2025-02-16 20:00:00,2025-02-17 04:00:00,3523.87,3477.0301999999997,3477.0301999999997,3675.89236,-0.468398000000002,loss,stop_loss_hit
25,buy,2025-02-18 00:00:00,2025-02-18 04:00:00,3381.2,3283.0098000000003,3283.0098000000003,3467.26035,-0.9819019999999955,loss,stop_loss_hit
26,buy,2025-02-18 12:00:00,2025-02-18 16:00:00,3136.39,3110.7258,3110.7258,3285.3073499999996,-0.2566419999999971,loss,stop_loss_hit
27,sell,2025-02-20 04:00:00,2025-02-24 00:00:00,3248.02,3135.7289,3314.4492,3135.7289,1.122910999999999,win,take_profit_hit
28,sell,2025-02-20 08:00:00,2025-02-21 08:00:00,3253.79,3312.9804,3312.9804,3134.3393,-0.5919039999999995,loss,stop_loss_hit
29,buy,2025-02-24 08:00:00,2025-02-24 12:00:00,2980.47,2947.3401999999996,2947.3401999999996,3112.7521499999993,-0.3312980000000016,loss,stop_loss_hit
30,buy,2025-02-25 00:00:00,2025-02-25 04:00:00,2609.7,2577.6058,2577.6058,2722.2673499999996,-0.320942,loss,stop_loss_hit
31,buy,2025-02-25 08:00:00,2025-02-25 16:00:00,2647.66,2639.2396499999995,2498.9901999999997,2639.2396499999995,-0.08420350000000326,win,take_profit_hit
32,sell,2025-02-26 20:00:00,2025-02-27 00:00:00,2517.55,2514.2898,2514.2898,2378.7153499999995,0.03260200000000168,loss,stop_loss_hit
