id,type,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,pnl,outcome,reason
1,sell,2024-12-16 00:00:00,2024-12-16 12:00:00,1905849.0,1929531.9082290062,1929531.9082290062,1848786.660599239,-2.3682908229006223,loss,stop_loss_hit
2,buy,2024-12-17 04:00:00,2024-12-18 20:00:00,1959892.0,1899472.0,1899472.0,2014368.9798745357,-6.042000000000001,loss,stop_loss_hit
3,buy,2024-12-17 08:00:00,2024-12-18 20:00:00,1970039.0,1925153.168842083,1925153.168842083,2020684.9545263546,-4.488583115791693,loss,stop_loss_hit
4,buy,2024-12-17 12:00:00,2024-12-18 04:00:00,1969198.0,1934552.6567819342,1934552.6567819342,2032140.1006316151,-3.46453432180658,loss,stop_loss_hit
5,buy,2024-12-18 08:00:00,2024-12-18 20:00:00,1952272.0,1929760.78,1929760.78,2001267.7199999997,-2.2511219999999974,loss,stop_loss_hit
6,buy,2024-12-18 16:00:00,2024-12-18 20:00:00,1930024.0,1929760.78,1929760.78,2005000.9649999999,-0.02632199999999721,loss,stop_loss_hit
7,buy,2024-12-18 20:00:00,2024-12-19 04:00:00,1894854.0,1929760.78,1929760.78,1997574.8399999999,3.490678000000003,loss,stop_loss_hit
8,buy,2024-12-19 00:00:00,2024-12-19 16:00:00,1933016.0,1856956.92,1856956.92,1961173.89,-7.605908000000007,loss,stop_loss_hit
9,buy,2024-12-19 04:00:00,2024-12-19 08:00:00,1905526.0,1929760.78,1929760.78,2000671.5599999998,2.423478000000003,loss,stop_loss_hit
10,buy,2024-12-19 12:00:00,2024-12-19 16:00:00,1894826.0,1882487.88,1882487.88,1988137.71,-1.2338120000000112,loss,stop_loss_hit
11,sell,2024-12-24 08:00:00,2024-12-24 12:00:00,1803915.0,1829720.8800000001,1829720.8800000001,1731059.46,-2.580588000000012,loss,stop_loss_hit
12,sell,2024-12-24 16:00:00,2024-12-27 12:00:00,1869642.0,1820334.505,1924084.1400000001,1820334.505,4.930749500000012,win,take_profit_hit
13,sell,2024-12-26 04:00:00,2024-12-27 04:00:00,1871765.0,1828720.355,1932947.94,1828720.355,4.304464500000002,win,take_profit_hit
14,sell,2024-12-26 20:00:00,2024-12-29 16:00:00,1852724.0,1796198.89,1898572.92,1796198.89,5.65251100000001,win,take_profit_hit
15,buy,2024-12-30 12:00:00,2024-12-30 16:00:00,1764450.0,1799523.618,1766379.309783409,1799523.618,3.5073618000000018,win,take_profit_hit
16,buy,2024-12-30 16:00:00,2024-12-31 08:00:00,1807296.0,1799523.618,1731689.3233703084,1799523.618,-0.7772381999999983,win,take_profit_hit
17,sell,2024-12-30 20:00:00,2025-01-02 08:00:00,1779175.0,1843441.92,1843441.92,1744040.64,-6.426691999999993,loss,stop_loss_hit
18,sell,2024-12-31 12:00:00,2025-01-02 08:00:00,1834551.0,1845318.72,1845318.72,1745816.24,-1.0767719999999972,loss,stop_loss_hit
19,sell,2024-12-31 16:00:00,2025-01-03 16:00:00,1813383.0,1871242.02,1871242.02,1770341.7149999999,-5.785902000000002,loss,stop_loss_hit
20,sell,2024-12-31 20:00:00,2025-01-02 08:00:00,1804715.0,1849650.66,1849650.66,1749914.595,-4.4935659999999915,loss,stop_loss_hit
21,sell,2025-01-02 12:00:00,2025-01-02 20:00:00,1846925.0,1851523.052,1884134.96870532,1851523.052,-0.4598051999999909,win,take_profit_hit
22,sell,2025-01-02 16:00:00,2025-01-03 16:00:00,1858653.0,1879446.9352263687,1879446.9352263687,1790011.6133538547,-2.079393522636872,loss,stop_loss_hit
23,sell,2025-01-04 00:00:00,2025-01-06 12:00:00,1873992.0,1902186.8700048244,1902186.8700048244,1851523.052,-2.8194870004824364,loss,stop_loss_hit
24,buy,2025-01-06 04:00:00,2025-01-07 16:00:00,1895321.0,1854743.864,1854743.864,1929657.7503289408,-4.057713599999994,loss,stop_loss_hit
25,buy,2025-01-06 08:00:00,2025-01-07 16:00:00,1876416.0,1858241.456,1858241.456,1936166.643162588,-1.8174543999999995,loss,stop_loss_hit
26,buy,2025-01-06 12:00:00,2025-01-06 20:00:00,1927221.0,1918699.347222403,1870023.864,1918699.347222403,-0.8521652777597076,win,take_profit_hit
27,buy,2025-01-06 16:00:00,2025-01-07 12:00:00,1917806.0,1870023.864,1870023.864,1979232.6081350886,-4.778213599999995,loss,stop_loss_hit
28,buy,2025-01-07 16:00:00,2025-01-08 16:00:00,1834005.0,1825590.52431949,1825590.52431949,1920318.3324408927,-0.8414475680510048,loss,stop_loss_hit
29,buy,2025-01-07 20:00:00,2025-01-09 04:00:00,1845922.0,1798482.736868098,1798482.736868098,1896168.9604808288,-4.743926313190209,loss,stop_loss_hit
30,buy,2025-01-08 00:00:00,2025-01-09 00:00:00,1840305.0,1810382.6485203765,1810382.6485203765,1908115.865089341,-2.992235147962347,loss,stop_loss_hit
31,buy,2025-01-08 04:00:00,2025-01-09 00:00:00,1828042.0,1805220.4593403495,1805220.4593403495,1901702.9461543881,-2.282154065965046,loss,stop_loss_hit
32,buy,2025-01-08 08:00:00,2025-01-09 16:00:00,1826451.0,1792314.783673182,1792314.783673182,1890564.6285719317,-3.4136216326818105,loss,stop_loss_hit
33,buy,2025-01-08 12:00:00,2025-01-09 16:00:00,1836080.0,1790376.8705536688,1790376.8705536688,1889580.7265310795,-4.570312944633118,loss,stop_loss_hit
34,buy,2025-01-08 16:00:00,2025-01-09 04:00:00,1811875.0,1800358.0940855497,1800358.0940855497,1898593.335350288,-1.1516905914450297,loss,stop_loss_hit
35,buy,2025-01-08 20:00:00,2025-01-09 16:00:00,1825518.0,1775637.5,1775637.5,1821037.33,-4.98805,loss,stop_loss_hit
36,sell,2025-01-10 04:00:00,2025-01-10 16:00:00,1818720.0,1838737.68,1838737.68,1739590.06,-2.0017679999999936,loss,stop_loss_hit
37,sell,2025-01-10 08:00:00,2025-01-14 08:00:00,1832497.0,1855094.4000000001,1855094.4000000001,1755064.8,-2.259740000000014,loss,stop_loss_hit
38,sell,2025-01-10 12:00:00,2025-01-13 08:00:00,1819876.0,1768359.605,1869146.94,1768359.605,5.151639500000002,win,take_profit_hit
39,sell,2025-01-10 16:00:00,2025-01-14 08:00:00,1843971.0,1856273.52,1856273.52,1756180.3399999999,-1.230252000000002,loss,stop_loss_hit
40,sell,2025-01-10 20:00:00,2025-01-13 08:00:00,1834423.0,1779432.015,1880850.42,1779432.015,5.49909850000001,win,take_profit_hit
41,sell,2025-01-11 04:00:00,2025-01-15 00:00:00,1828791.0,1863068.76,1863068.76,1762609.17,-3.427776000000001,loss,stop_loss_hit
42,sell,2025-01-11 08:00:00,2025-01-15 04:00:00,1832846.0,1865366.82,1865366.82,1764783.315,-3.252082000000007,loss,stop_loss_hit
43,sell,2025-01-11 12:00:00,2025-01-13 08:00:00,1830256.0,1768696.39,1869502.92,1768696.39,6.15596100000001,win,take_profit_hit
44,sell,2025-01-11 16:00:00,2025-01-13 08:00:00,1821646.0,1768670.8031067925,1865447.541081833,1768670.8031067925,5.29751968932075,win,take_profit_hit
45,sell,2025-01-11 20:00:00,2025-01-14 08:00:00,1830498.0,1856003.2167188448,1856003.2167188448,1761520.8707420216,-2.550521671884484,loss,stop_loss_hit
46,sell,2025-01-12 00:00:00,2025-01-13 08:00:00,1830172.0,1767273.6478318772,1866626.2012389274,1767273.6478318772,6.2898352168122775,win,take_profit_hit
47,sell,2025-01-12 04:00:00,2025-01-13 08:00:00,1824564.0,1770176.297986743,1864455.2582932897,1770176.297986743,5.438770201325696,win,take_profit_hit
48,sell,2025-01-12 08:00:00,2025-01-13 08:00:00,1822973.0,1767609.4552734043,1857109.4541294833,1767609.4552734043,5.536354472659575,win,take_profit_hit
49,sell,2025-01-12 12:00:00,2025-01-13 08:00:00,1839373.0,1768157.4495395897,1854296.171691663,1768157.4495395897,7.12155504604103,win,take_profit_hit
50,sell,2025-01-12 16:00:00,2025-01-13 08:00:00,1830038.0,1784170.0960010476,1870917.51657083,1784170.0960010476,4.586790399895236,win,take_profit_hit
